x,y_fit
-2.1799599198396793,-0.36749173695360493
-2.150300601202405,-0.35763326068193035
-2.1206412825651304,-0.34791833502476854
-2.090981963927856,-0.3383466169237926
-2.0613226452905815,-0.3289177619498927
-2.031663326653307,-0.31963142455142013
-2.0020040080160326,-0.3104872583000552
-1.9723446893787582,-0.3014849161342028
-1.9426853707414828,-0.29262405059981694
-1.9130260521042084,-0.28390431408856054
-1.883366733466934,-0.2753253590732031
-1.8537074148296595,-0.2668868383401697
-1.824048096192385,-0.25858840521914417
-1.7943887775551106,-0.2504297138096437
-1.7647294589178362,-0.24241041920447182
-1.7350701402805617,-0.23453017770996942
-1.7054108216432873,-0.2267886470629754
-1.675751503006012,-0.21918548664441645
-1.6460921843687375,-0.2117203576894468
-1.616432865731463,-0.20439292349405352
-1.5867735470941886,-0.1972028496180563
-1.5571142284569142,-0.19014980408442128
-1.5274549098196397,-0.18323345757481624
-1.4977955911823653,-0.1764534836213344
-1.4681362725450908,-0.16980955879431525
-1.4384769539078155,-0.163301362886194
-1.408817635270541,-0.15692857909131158
-1.3791583166332666,-0.1506908941816169
-1.3494989979959922,-0.14458799867820082
-1.3198396793587177,-0.13861958701859584
-1.2901803607214433,-0.13278535771978128
-1.2605210420841688,-0.1270850135368341
-1.2308617234468944,-0.12151826161716782
-1.20120240480962,-0.11608481365030254
-1.1715430861723446,-0.1107843860131117
-1.1418837675350701,-0.10561669991049275
-1.1122244488977957,-0.10058148151140878
-1.0825651302605213,-0.09567846208025342
-1.0529058116232468,-0.09090737810348928
-1.0232464929859724,-0.08626797141151347
-0.9935871743486979,-0.08175998929570584
-0.9639278557114235,-0.07738318462061604
-0.9342685370741481,-0.07313731593124766
-0.9046092184368737,-0.06902214755540044
-0.8749498997995993,-0.0650374497010297
-0.8452905811623248,-0.061182998548589156
-0.8156312625250504,-0.05745857633831968
-0.7859719438877759,-0.05386397145245131
-0.7563126252505015,-0.05039897849228657
-0.726653306613227,-0.04706339835013461
-0.6969939879759526,-0.04385703827606746
-0.6673346693386772,-0.04077971193947148
-0.6376753507014028,-0.037831239485368894
-0.6080160320641284,-0.0350114475854843
-0.5783567134268539,-0.03232016948403594
-0.5486973947895795,-0.029757245038229605
-0.519038076152305,-0.027322520753437073
-0.48937875751503057,-0.0250158498130414
-0.4597194388777561,-0.022837092102933717
-0.4300601202404808,-0.020786114230647232
-0.40040080160320635,-0.018862789539116506
-0.3707414829659319,-0.017066998115050327
-0.34108216432865746,-0.015398626791910204
-0.311422845691383,-0.013857569147486141
-0.28176352705410856,-0.012443725496064107
-0.2521042084168341,-0.011157002875180937
-0.22244488977955967,-0.009997315026964031
-0.19278557114228523,-0.00896458237405487
-0.1631262525050099,-0.008058731990116938
-0.13346693386773545,-0.007279697564930501
-0.103807615230461,-0.006627419364077736
-0.07414829659318656,-0.006101844183224265
-0.04448897795591211,-0.005702925297003846
-0.014829659318637667,-0.005430622402515179
0.014829659318636779,-0.005284901557441194
0.044488977955911224,-0.005265735112802884
0.07414829659318656,-0.005373101640361351
0.103807615230461,-0.005606985854683328
0.13346693386773545,-0.0059673785298871886
0.1631262525050099,-0.006454276411087919
0.19278557114228434,-0.007067682120561282
0.22244488977955879,-0.007807604058648991
0.25210420841683323,-0.00867405629942833
0.2817635270541077,-0.00966705848117129
0.3114228456913821,-0.010786635691619943
0.34108216432865746,-0.012032818348106421
0.3707414829659319,-0.013405642072547208
0.40040080160320635,-0.014905147561343956
0.4300601202404808,-0.016531380450223232
0.45971943887775524,-0.01828439117405066
0.4893787575150297,-0.020164234821655698
0.5190380761523041,-0.022170970985705155
0.5486973947895786,-0.02430466360766525
0.5783567134268539,-0.02656538081789362
0.6080160320641284,-0.028953194770903832
0.6376753507014019,-0.031468181475848
0.6673346693386772,-0.03411042062226299
0.6969939879759508,-0.036879995401127234
0.7266533066132261,-0.03977699232128085
0.7563126252505015,-0.042801501021255524
0.785971943887775,-0.045953614076571205
0.8156312625250504,-0.049233426802552265
0.8452905811623239,-0.05264103705271727
0.8749498997995993,-0.05617654501280489
0.9046092184368728,-0.05984005299048875
0.9342685370741481,-0.06363166520084931
0.9639278557114235,-0.0675514875476581
0.993587174348697,-0.07159962740054444
1.0232464929859724,-0.07577619336810783
1.052905811623246,-0.08008129506704151
1.0825651302605213,-0.08451504288734175
1.1122244488977948,-0.08907754775366644
1.1418837675350701,-0.09376892088292305
1.1715430861723437,-0.09858927353815147
1.201202404809619,-0.10353871677878644
1.2308617234468944,-0.10861736120736773
1.260521042084168,-0.11382531671278394
1.2901803607214433,-0.11916269221012799
1.3198396793587168,-0.12462959537724289
1.3494989979959922,-0.13022613238804936
1.3791583166332657,-0.13595240764273114
1.408817635270541,-0.14180852349487472
1.4384769539078146,-0.1477945799756421
1.46813627254509,-0.1539106745150774
1.4977955911823653,-0.16015690166062835
